Seed,Sample Size,True Effect 1,True Effect 2,Causal Effect Estimate 1 (Cumulant),Causal Effect Estimate 2 (Cumulant),Causal Effect Estimate 1 (Min Norm),Causal Effect Estimate 2 (Min Norm),Distance to Line,GRICA Effect Estimate 1,GRICA Effect Estimate 2
29,10,0.7568602288971822,-0.6914574812207355,-0.3645445075547159,0.12466240338603252,-0.3687881654324225,0.014163080481438902,0.1802646529538422,-0.3075249493122101,-0.2290996015071869
29,1000,0.7568602288971822,-0.6914574812207355,0.9308487038690336,-0.4854000466858088,0.7000941588375271,-0.7122244747108978,-0.024036572519372173,0.4646303057670593,-0.31568270921707153
29,100000,0.7568602288971822,-0.6914574812207355,0.8897149040027018,-0.5414119355391951,0.7820457117996978,-0.6675484441268685,0.003364640750853724,0.45971453189849854,-0.34899789094924927
29,10000000,0.7568602288971822,-0.6914574812207355,0.7297679931702704,-0.7231079683762094,0.7879057663529714,-0.6529543904141787,-0.0006107440344112993,0.45971453189849854,-0.34899789094924927
30,10,0.6467949320041011,0.7061528448963632,-1.3372877842872284,-0.10132902037427371,-0.8808479598012062,0.5854337375411803,2.6622207133293996,0.05121782422065735,0.23417404294013977
30,1000,0.6467949320041011,0.7061528448963632,0.6876259442320525,0.6352188934649821,0.5962498714357596,0.7117651676231225,0.027238385242603042,0.012042289599776268,0.3691934645175934
30,100000,0.6467949320041011,0.7061528448963632,0.6357746469899263,0.7145175567989632,0.5322829371632505,0.784717204473971,-0.0007025822497504874,0.014754725620150566,0.30584681034088135
30,10000000,0.6467949320041011,0.7061528448963632,0.6543561826479712,0.7008579248122022,0.5388308605641641,0.7806022605179047,5.9415917767944784e-05,0.014754725620150566,0.30584681034088135
31,10,0.6535741105656772,0.6845769811584214,0.09589435621665576,1.3324824858130304,0.7116684059208236,0.7414107672447947,0.0672168134244417,0.09396414458751678,1.2998909950256348
31,1000,0.6535741105656772,0.6845769811584214,-0.26618868068102336,1.440986652477956,0.5993816871673637,0.7030690411212361,-0.022835536757093128,0.4009833335876465,0.9325915575027466
31,100000,0.6535741105656772,0.6845769811584214,0.6166735599585972,0.7135372545298265,0.6230625321008563,0.7079140732556207,-0.0028256567487046553,0.5214274525642395,0.952823281288147
31,10000000,0.6535741105656772,0.6845769811584214,0.6536945075272802,0.684893819978575,0.6252218412637672,0.7099678195824337,0.0003388822223648075,0.5214274525642395,0.952823281288147
